Тип школы;Школа;Адрес;Телефон;Директор;Сайт;Долгота;Широта
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 64";г.Пермь, ул.Ласьвинская, 64а;283-09-11;Директор: Пунина Светлана Петровна;http://www.school64-perm.ucoz.ru;55.932146;58.009430
Статусная;МБОУ "Средняя общеобразовательная школа № 65 с углубленным изучением английского языка";г.Пермь, ул.Кировоградская, 53;283-28-40;Директор: Храмцов Василий Иванович;http://school65.permedu.ru;55.959877;58.002310
Статусная;МАОУ "Средняя общеобразовательная школа № 7 с углубленным изучением английского языка";г.Пермь, ул.Луначарского, 74 б;236-05-80;Директор: Бабенышев Олег Михайлович;http://www.sc7.perm.ru;56.231554;58.005882
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 70";г.Пермь, ул.А.Невского, 25;252-61-22, 282-97-72;Директор: Копылова Наталья Ивановна;http://www.s70perm.ru;55.948235;58.002096
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 71";г.Пермь, ул.Высокая, 6;213-10-74;Директор: Булычева Наталья Николаевна;http://www.sc71perm.ru;56.041839;58.044801
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 72";г.Пермь, ул.Мильчакова, 22;224-44-42;Директор: Симоненко Наталья Петровна;http://school72.e-stile.ru;56.229524;57.991893
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 74";г.Пермь, ул.И.Франко, 49;260-26-58;Директор: Полыгалова Татьяна Николаевна;http://school74.permedu.ru/;56.359448;58.062888
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 75";г.Пермь, Ш.Космонавтов, 195;226-18-91;Директор: Соколова Ольга Юрьевна;http://www.school75.fo.ru;56.161342;57.973589
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 76";г.Пермь, ул.Лодыгина, 48 а;269-56-83;Директор: Лепихина Татьяна Владимировна;http://www.school76perm.ru;56.213894;57.966768
Статусная;МБОУ "Средняя общеобразовательная школа № 77 с углубленным изучением английского языка";г. Пермь, ул.Героев Хасана, 18;281-26-41;Директор: Ухлова Ольга Владимировна;http://www.school77perm.ru;56.256590;57.990228
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 79";г.Пермь, ул.Томская, 30;263-69-61;Директор: Веселухина Венера Расульевна;http://sc79perm.ucoz.ru/;56.383621;58.136297
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 80";г.Пермь, ул.Маршала Толбухина, 33;274-02-04;Директор: Лукоянова Светлана Витальевна;http://skool80.ucoz.ru;56.301066;58.099557
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 81";г.Пермь, ул.Загарьинская, 6;268-70-97;Директор: Михалева Светлана Ивановна;http://school81.1class.ru/;56.274754;57.975422
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 82";г.Пермь, ул.Суздальская, 1;241-98-54;Директор: Тетерина Ольга Васильевна;http://school82-perm.ucoz.ru/;56.293026;57.981029
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 83";г.Пермь, Волгодонская, 20, а;251-26-72;Директор: Пономарев Олег Владимирович;http://s83perm.ru;56.006302;58.026038
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 84";г.Пермь, ул.Толмачева, 18;246-53-01;Директор: Никольская Вера Владимировна;http://school84.permedu.ru/;56.201703;58.007437
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 87";г.Пермь, ул.Закамская, 8;283-68-77;Директор: Санникова Надежда Валерьевна;http://school87.permedu.ru/;55.945845;57.997302
Общеобразовательная;МБОУ "Средняя общеобразовательная школа № 88";г.Пермь, ул.Пархоменко, 2;275-52-22;Директор: Шитоева Татьяна Германовна;http://schkola88.ucoz.ru;56.359879;58.081255
Статусная;МАОУ "Средняя общеобразовательная школа № 9 им.А.С. Пушкина с углубленным изучением предметов физико-математического цикла";г.Пермь, Комсомольский пр-т, 45;212-80-71;Директор: Курдина Наталия Анатольевна;http://pushkinschool9perm.wordpress.com;56.244544;58.003708
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 91";г.Пермь, ул Карпинского, 66;280-08-39;Директор: Логутов Владимир Иванович;http://school91.perm.ru;56.214181;57.979521
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 93";г.Пермь, ул.П.Осипенко, 46;241-29-35;Директор: Токарева Любовь Фёдоровна;http://s93perm.ru;56.258324;57.997612
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 96";г.Пермь, ул.К. Цеткин, 10;281-38-61;Директор: Синица Ирина Павловна;http://sc96perm.ru/;56.243852;57.986660
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 99";г.Пермь, Серебрянский проезд, 8;242-76-04;Директор: Кадрова Любовь Николаевна;http://Shk99.perm.ru;56.237879;57.975608
Вечерняя;МАОУ "Центр образования Индустриального района";г.Пермь, ул.Баумана, 5;221-85-27;Директор: Черняк Олег Аронович;http://co-perm.ru;56.199134;57.986698
