Адрес;Построен;Степень износа;Дата ремонта, гг;Долгота;Широта
Пушкина, 116а;1986 г.;34;2018-2020;56.221089;58.000756
Кировоградская, 18;1986 г.;32;2018-2020;55.948899;57.995676
Хабаровская, 173;1986 г.;30;2018-2020;56.088704;58.043139
Академика Королева, 6;1986 г.;30;2018-2020;56.219867;58.050459
1Дубровский, 4;1986 г.;30;2018-2020;56.317586;58.114806
Адмирала Ушакова, 55/2;1986 г.;30;2018-2020;56.002295;58.026405
Советской Армии, 23;1986 г.;26;2018-2020;56.197014;57.984508
Николая Быстрых, 14;1986 г.;24;2018-2020;56.300752;58.019684
Уральская, 53;1986 г.;24;2018-2020;56.307740;58.031637
Мильчакова, 33;1986 г.;23;2018-2020;56.234043;57.990181
Екатерининская, 220;1986 г.;21;2018-2020;56.200877;58.003531
Адмирала Старикова, 49;1986 г.;20;2018-2020;56.386693;58.131721
Старцева, 5;1986 г.;20;2018-2020;56.312996;58.007403
Целинная, 23;1986 г.;20;2018-2020;56.358747;58.059564
Звонарева, 4;1986 г.;19;2018-2020;56.307202;58.000145
Николая Быстрых, 14а;1986 г.;18;2018-2020;56.301003;58.020299
Экскаваторная, 49;1986 г.;18;2018-2020;56.149933;57.960270
Уральская, 59;1986 г.;17;2018-2020;56.305001;58.030518
Клары Цеткин, 31;1986 г.;17;2018-2020;56.238274;57.992175
Старцева, 21;1986 г.;16;2018-2020;56.310822;57.999458
Парковый, 5;1986 г.;15;2018-2020;56.143699;57.997913
Целинная, 29/3;1986 г.;14;2018-2020;56.354471;58.056426
Космонавтов, 114;1986 г.;13;2018-2020;56.195379;57.991287
Целинная, 29/4;1986 г.;13;2018-2020;56.354471;58.056426
Целинная, 29/1;1986 г.;13;2018-2020;56.354471;58.056426
Старцева, 13;1986 г.;12;2018-2020;56.312942;58.001600
Волховская, 23;1986 г.;12;2018-2020;56.372850;58.111797
Зенкова, 8;1986 г.;12;2018-2020;56.319472;58.033086
Льва Толстого, 25;1986 г.;11;2018-2020;56.220855;57.986655
Гайвинская, 8;1986 г.;10;2018-2020;56.298227;58.104911
Героев Хасана, 145а;1986 г.;9;2018-2020;56.270640;57.947037
Звонарева, 5;1986 г.;9;2018-2020;56.309474;57.999678
Декабристов, 39/1;1986 г.;9;2018-2020;56.196017;57.974329
Коломенская, 5;1986 г.;8;2018-2020;56.272868;57.974372
Старцева, 19;1986 г.;8;2018-2020;56.311567;58.000136
Вижайская, 20;1986 г.;8;2018-2020;56.235498;57.964252
Каляева, 12;1986 г.;8;2018-2020;56.023918;58.029260
Вильямса, 10а;1986 г.;8;2018-2020;56.298488;58.105477
Фонтанная, 1а/1;1986 г.;7;2018-2020;56.277907;58.002687
Куйбышева, 79а;1986 г.;7;2018-2020;56.244769;57.995380
Волгодонская, 9;1986 г.;7;2018-2020;56.010236;58.026238
Танкистов, 10;1986 г.;6;2018-2020;56.213238;57.988320
Глазовская, 7;1986 г.;5;2018-2020;55.833035;58.026076
Старцева, 7;1986 г.;2;2018-2020;56.312205;58.005930
Вильвенская, 21;1986 г.;;2018-2020;56.234663;57.990548
Кировоградская, 12/2;1986 г.;;2018-2020;55.947211;57.994545
Мира, 122/2;1986 г.;;2018-2020;56.158746;57.970530
Парковый, 41б;1986 г.;;2018-2020;56.171924;57.998018
Мильчакова, 6;1987 г.;51;2018-2020;56.226641;57.995347
Кировоградская, 10;1987 г.;32;2018-2020;55.945297;57.994059
Генерала Панфилова, 4а;1987 г.;31;2018-2020;55.830789;58.027058
Льва Лаврова, 14;1987 г.;30;2018-2020;56.376471;58.113261
Василия Каменского, 2а;1987 г.;26;2018-2020;56.165187;57.999282
Парковый, 45б;1987 г.;25;2018-2020;56.176056;57.997741
Гагарина бульвар, 30а;1987 г.;24;2018-2020;56.279605;58.010798
Адмирала Старикова, 14;1987 г.;20;2018-2020;56.387771;58.138221
А.Курчатова, 4а;1987 г.;20;2018-2020;56.234195;58.010259
Парковый, 2;1987 г.;19;2018-2020;56.137097;57.996191
Пушкина, 13;1987 г.;18;2018-2020;56.252287;58.009487
Карбышева, 86;1987 г.;18;2018-2020;56.279704;58.111939
Н. Островского, 27;1987 г.;18;2018-2020;56.258369;58.012753
Вильямса, 16;1987 г.;18;2018-2020;56.297913;58.103166
Попова, 25;1987 г.;17;2018-2020;56.227063;58.006040
Парковый, 3;1987 г.;17;2018-2020;56.141049;57.998032
С.Есенина, 7;1987 г.;17;2018-2020;56.119804;58.002205
Глеба Успенского, 17;1987 г.;16;2018-2020;56.239891;57.998323
Парковый, 2а;1987 г.;15;2018-2020;56.137860;57.996358
Целинная, 31/1;1987 г.;14;2018-2020;56.353824;58.055679
Краснофлотская, 40;1987 г.;14;2018-2020;56.244517;57.993925
Старцева, 1;1987 г.;14;2018-2020;56.312654;58.010398
Нейвинская, 14;1987 г.;32767;2018-2020;56.270299;57.970878
Байкальская, 3/2;1987 г.;12;2018-2020;56.024960;58.029860
Свободы, 13;1987 г.;12;2018-2020;56.320380;58.032395
Декабристов, 39/2;1987 г.;11;2018-2020;56.196942;57.973985
Восстания, 8;1987 г.;10;2018-2020;56.323066;58.033396
Генерала Панфилова, 6/1;1987 г.;9;2018-2020;55.832244;58.027716
1-ый Еловский, 22;1987 г.;9;2018-2020;56.361684;58.079676
Машинистов, 20/2;1987 г.;9;2018-2020;56.110920;58.039151
Янаульская, 8;1987 г.;9;2018-2020;56.309160;58.103651
Юрша, 64;1987 г.;7;2018-2020;56.309717;58.007093
Коломенская, 7;1987 г.;5;2018-2020;56.272940;57.975699
Мира, 122/1;1987 г.;4;2018-2020;56.160183;57.971045
Гашкова, 26/3;1987 г.;;2018-2020;56.347230;58.059283
Генерала Панфилова, 6а;1987 г.;;2018-2020;55.832765;58.026843
Гашкова, 26/1;1987 г.;;2018-2020;56.347230;58.059283
Шоссе Космонавтов, 326;1987 г.;;2018-2020;56.078652;57.947534
Шоссе Космонавтов, 324;1987 г.;;2018-2020;56.079577;57.947324
Клары Цеткин, 16;1987 г.;;2018-2020;56.239406;57.988954
Краснофлотская, 36;1987 г.;;2018-2020;56.243053;57.994765
Казахская, 102;1987 г.;;2018-2020;56.318556;57.974396
25 Октября, 64;1987 г.;;2018-2020;56.260552;58.003817
Сысольская, 11а;1987 г.;;2018-2020;55.975148;58.017482
Овчинникова, 18/2;1987 г.;;2018-2020;56.225958;57.994469
Маршала Рыбалко, 105в;1988 г.;50;2018-2020;55.972516;58.016472
Кировоградская, 16;1988 г.;36;2021-2023;55.948603;57.995924
Крисанова, 26а;1988 г.;26;2021-2023;56.215331;58.004089
Костычева, 39;1988 г.;25;2021-2023;56.136567;58.036412
Крисанова, 73;1988 г.;25;2021-2023;56.216696;57.997913
Костычева, 39а;1988 г.;25;2021-2023;56.137411;58.036116
Костычева, 41;1988 г.;23;2021-2023;56.136279;58.037041
Мира, 118/1;1988 г.;21;2021-2023;56.161692;57.971537
Крисанова, 26б;1988 г.;18;2021-2023;56.215169;58.003760
Свободы, 15;1988 г.;18;2021-2023;56.319311;58.031604
Юрша, 5;1988 г.;17;2021-2023;56.306968;58.010383
Декабристов, 33;1988 г.;15;2021-2023;56.199359;57.973016
Целинная, 31/3;1988 г.;14;2021-2023;56.354121;58.054617
Маяковского, 41;1988 г.;14;2021-2023;56.110147;58.001943
Линия 13-я, 10;1988 г.;12;2021-2023;56.280369;58.056979
Овчинникова, 18;1988 г.;12;2021-2023;56.225958;57.994469
Зенкова, 6;1988 г.;11;2021-2023;56.321709;58.032814
Космонавтов, 113а;1988 г.;10;2021-2023;56.201560;57.991335
Коломенская, 55а;1988 г.;10;2021-2023;56.278267;57.979335
Автозаводская, 26а;1988 г.;10;2021-2023;55.943950;58.003088
Адмирала Старикова, 9;1988 г.;10;2021-2023;56.597699;58.051288
40-летия Победы, 12;1988 г.;10;2021-2023;56.585014;58.047492
Камышинская, 15;1988 г.;10;2021-2023;56.034805;58.037789
Ветлужская, 60;1988 г.;10;2021-2023;56.090195;58.044429
Зенкова, 4;1988 г.;10;2021-2023;56.322123;58.033786
Крупской, 42а;1988 г.;10;2021-2023;56.281312;58.013134
Костычева, 23;1988 г.;9;2021-2023;56.127278;58.038956
Гагарина, 62 А/2;1988 г.;9;2021-2023;56.283962;57.998986
Вижайская, 14;1988 г.;9;2021-2023;56.234177;57.965088
Глазовская, 3;1988 г.;8;2021-2023;55.829504;58.026681
Солдатова, 42/1;1988 г.;7;2021-2023;56.240942;57.974630
Танкистов, 12;1988 г.;6;2021-2023;56.211630;57.988630
Клары Цеткин, 21а;1988 г.;6;2021-2023;56.241337;57.989155
Дубовская, 12а;1988 г.;6;2021-2023;55.933341;58.005324
Уинская, 18;1988 г.;5;2021-2023;56.307534;58.006636
Сергинская, 38а;1988 г.;;2021-2023;56.236540;57.957210
Волгодонская, 21а;1988 г.;;2021-2023;56.004739;58.023564
Танцорова, 45;1988 г.;;2021-2023;56.030655;58.031890
Советской Армии, 47;1988 г.;;2021-2023;56.205961;57.976243
Чердынская, 13;1988 г.;;2021-2023;56.192433;57.966868
Шоссе Космонавтов, 322;1988 г.;;2021-2023;56.080233;57.947109
Шоссе Космонавтов, 113а;1988 г.;;2021-2023;56.201560;57.991335
Маршала Рыбалко, 97а;1988 г.;;2021-2023;55.970423;58.015509
Маршала Рыбалко, 97б;1988 г.;;2021-2023;55.969273;58.015351
25 Октября, 66;1988 г.;;2021-2023;56.260363;58.003374
Парковый, 35;1988 г.;;2021-2023;56.166507;57.998552
Максима Горького, 27;1989 г.;67;2021-2023;56.253590;58.013668
Малкова, 28/1;1989 г.;50;2021-2023;56.193915;57.998624
Адмирала Макарова, 20/2;1989 г.;38;2021-2023;56.029901;58.031542
Воронежская, 17а;1989 г.;35;2021-2023;55.838443;58.028197
Пушкина, 1;1989 г.;26;2021-2023;56.262816;58.012362
Адмирала Ушакова, 76;1989 г.;25;2021-2023;56.000813;58.027916
Сысольская, 10;1989 г.;21;2021-2023;55.977681;58.018483
Богдана Хмельницкого, 11/2;1989 г.;21;2021-2023;55.929262;58.005620
Кабельщиков, 83;1989 г.;18;2021-2023;56.289244;58.110313
Целинная, 33;1989 г.;15;2021-2023;56.351992;58.056122
Парковый, 14;1989 г.;15;2021-2023;56.145541;57.996935
Гагарина, 58а;1989 г.;14;2021-2023;56.285094;58.001061
Парковый, 18;1989 г.;14;2021-2023;56.147831;57.997221
Парковый, 31/1;1989 г.;14;2021-2023;56.163669;57.998729
Чернышевского, 21а;1989 г.;14;2021-2023;56.264253;57.993148
Ушинского, 6;1989 г.;10;2021-2023;56.289783;57.998710
Парковый, 3/1;1989 г.;9;2021-2023;56.138480;57.997517
Юрша, 9а;1989 г.;8;2021-2023;56.307453;58.008448
Елькина, 49;1989 г.;8;2021-2023;56.235318;57.996740
Козьмы Минина, 5;1989 г.;7;2021-2023;56.271179;57.966849
Костычева, 21;1989 г.;7;2021-2023;56.126631;58.039094
Коминтерна, 20;1989 г.;7;2021-2023;56.247068;57.987614
Генерала Панфилова, 13а;1989 г.;7;2021-2023;55.836475;58.028445
Янаульская, 12;1989 г.;7;2021-2023;56.306618;58.102068
Фонтанная, 1а/2;1989 г.;6;2021-2023;56.278617;58.002034
Автозаводская, 34а;1989 г.;6;2021-2023;55.946142;58.004390
Елькина, 7;1989 г.;6;2021-2023;56.239370;57.996062
Карбышева, 74;1989 г.;6;2021-2023;56.287160;58.110028
Коломенская, 59;1989 г.;5;2021-2023;56.278788;57.980142
Танцорова, 33;1989 г.;5;2021-2023;56.024502;58.028611
Юрша, 5а;1989 г.;4;2021-2023;56.305585;58.009797
Каляева, 17;1989 г.;4;2021-2023;56.019094;58.027353
Танцорова, 31;1989 г.;4;2021-2023;56.023064;58.028111
Гашкова, 45;1989 г.;;2021-2023;56.347590;58.057798
Революции, 3;1989 г.;;2021-2023;56.275446;58.006097
Чердынская, 42;1989 г.;;2021-2023;56.178293;57.966238
Чердынская, 38а;1989 г.;;2021-2023;56.180467;57.965412
Василия Каменского, 5;1989 г.;;2021-2023;56.173999;58.000522
Постаногова, 1;1989 г.;;2021-2023;56.323578;58.031447
25 Октября, 38;1989 г.;;2021-2023;56.257534;58.007747
Строителей, 46;1989 г.;;2021-2023;56.157794;57.999849
25 Октября, 38а;1989 г.;;2021-2023;56.256141;58.007432
Чердынская, 44;1989 г.;;2021-2023;56.179838;57.966329
Стахановская, 6;1989 г.;;2021-2023;56.223002;57.986287
Куйбышева, 101;1989 г.;;2021-2023;56.248020;57.988458
Маршала Рыбалко, 103б;1990 г.;28;2021-2023;55.974115;58.015447
Адмирала Старикова, 17;1990 г.;22;2021-2023;56.385373;58.136468
Декабристов, 22;1990 г.;15;2021-2023;56.204713;57.977927
Пулковская, 11;1990 г.;14;2021-2023;56.297608;58.107161
Краснослудская, 17;1990 г.;13;2021-2023;56.395982;58.109909
Куфонина, 28;1990 г.;13;2021-2023;56.134339;57.992828
Мира, 82а;1990 г.;13;2021-2023;56.179928;57.977641
Маршала Рыбалко, 21;1990 г.;12;2021-2023;55.943968;58.001213
Куфонина, 16;1990 г.;12;2021-2023;56.135569;57.994522
Адмирала Старикова, 9а;1990 г.;10;2021-2023;56.383531;58.137508
Клары Цеткин, 33;1990 г.;10;2021-2023;56.237645;57.992757
Маршала Рыбалко, 78а;1990 г.;10;2021-2023;55.960578;58.007723
Ветлужская, 62;1990 г.;10;2021-2023;56.085749;58.044296
Худанина, 15;1990 г.;9;2021-2023;55.938380;57.999463
Хабаровская, 135;1990 г.;9;2021-2023;56.095415;58.051907
5 Каховская, 8а;1990 г.;8;2021-2023;56.006275;58.023121
Маршала Рыбалко, 33а;1990 г.;8;2021-2023;55.947300;58.003703
Сокольская, 10;1990 г.;7;2021-2023;56.032856;58.036764
Добролюбова, 4а;1990 г.;7;2021-2023;56.295676;58.015780
Добролюбова, 2а;1990 г.;7;2021-2023;56.294769;58.015633
Елькина, 45;1990 г.;7;2021-2023;56.238831;57.994374
Пихтовая, 42;1990 г.;6;2021-2023;56.280288;57.977345
Клары Цеткин, 23а;1990 г.;6;2021-2023;56.240699;57.989937
Ласьвинская, 68б;1990 г.;6;2021-2023;55.931526;58.011080
Генерала Панфилова, 11а;1990 г.;6;2021-2023;55.835020;58.028816
Крупской, 42б;1990 г.;5;2021-2023;56.281052;58.012739
Байкальская, 9;1990 г.;5;2021-2023;56.023487;58.032171
Янаульская, 6;1990 г.;4;2021-2023;56.308863;58.104193
Льва Толстого, 10;1990 г.;2;2021-2023;56.220613;57.987456
Генерала Панфилова, 17б;1990 г.;2;2021-2023;55.838461;58.028840
Липатова, 20;1990 г.;1;2021-2023;55.959571;58.012681
Гашкова, 30/1;1990 г.;;2021-2023;56.345407;58.059079
Героев Хасана, 91а;1990 г.;;2021-2023;56.262753;57.972377
Гашкова, 9;1990 г.;;2021-2023;56.357175;58.067415
Елькина, 3;1990 г.;;2021-2023;56.237160;57.997870
Строителей, 36;1990 г.;;2021-2023;56.155144;57.999764
Строителей, 36/1;1990 г.;;2021-2023;56.155647;57.999830
Волховская, 34а;1991 г.;40;2021-2023;56.371359;58.113874
Екатерининская, 120а;1991 г.;21;2021-2023;56.232875;58.008324
Малышева, 3;1991 г.;16;2021-2023;56.256941;58.006898
Декабристов, 27;1991 г.;15;2021-2023;56.202503;57.973818
Докучаева, 27в;1991 г.;12;2021-2023;56.139459;58.044449
Юрша, 21;1991 г.;12;2021-2023;56.302683;58.003183
Декабристов, 41;1991 г.;10;2021-2023;56.195343;57.974004
Студенческая, 25а;1991 г.;9;2021-2023;56.281977;58.010231
Куфонина, 21;1991 г.;8;2021-2023;56.137761;57.993467
Парковый, 5/1;1991 г.;8;2021-2023;56.141849;57.998094
Коминтерна, 17;1991 г.;7;2021-2023;56.245865;57.988496
Свиязева, 2а;1991 г.;7;2021-2023;56.201811;57.963421
Ветлужская, 64;1991 г.;7;2021-2023;56.083377;58.044325
Охотников, 3;1991 г.;3;2021-2023;55.929137;58.002100
Парковый, 54/1;1991 г.;;2021-2023;56.166409;57.997498
Уральская, 61а;1991 г.;;2021-2023;56.304004;58.030589
Памирская, 28;1991 г.;;2021-2023;56.394024;58.133812
Липатова, 22;1992 г.;40;2021-2023;55.958080;58.013749
Парковый, 1;1992 г.;17;2021-2023;56.136809;57.997517
Луначарского, 51;1992 г.;14;2021-2023;56.244481;58.008357
Маяковского, 43;1992 г.;13;2021-2023;56.108701;58.001929
Маяковского, 33/1;1992 г.;13;2021-2023;56.115294;58.001881
Карбышева, 88;1992 г.;12;2021-2023;56.278617;58.112500
Толбухина, 16а;1992 г.;11;2021-2023;56.299557;58.101768
Петропавловская, 13;1992 г.;10;2021-2023;56.252090;58.017172
Козьмы Минина, 7;1992 г.;8;2021-2023;56.270272;57.966639
Толбухина, 11;1992 г.;8;2021-2023;56.304480;58.102068
Ветлужская, 68;1992 г.;8;2021-2023;56.083278;58.043915
Клары Цеткин, 19а;1992 г.;6;2021-2023;56.242918;57.988945
Полазненская, 26;1992 г.;5;2021-2023;56.272041;57.976095
Машинистов, 20/3;1992 г.;4;2021-2023;56.109204;58.039065
Космонавта Беляева, 43;1992 г.;4;2021-2023;56.167846;57.967303
Карбышева, 40;1992 г.;4;2021-2023;56.309187;58.109952
Нейвинская, 1;1992 г.;2;2021-2023;56.263256;57.969919
Космонавта Беляева, 59;1992 г.;2;2021-2023;56.157165;57.965646
Гашкова, 30/2;1992 г.;;2021-2023;56.345802;58.059779
Якуба Коласа, 9;1992 г.;;2021-2023;56.203841;58.008014
Василия Каменского, 3;1992 г.;;2021-2023;56.171754;57.999935
Волгодонская, 23;1992 г.;;2021-2023;56.003041;58.023798
Маршала Рыбалко, 117/2;1992 г.;;2021-2023;55.981481;58.017330
Краснослудская, 13;1992 г.;;2021-2023;56.395218;58.110209
Толмачева, 13;1992 г.;;2021-2023;56.199907;58.008114
Кировоградская, 32;1992 г.;;2021-2023;55.956293;57.999315
Серебрянский проезд, 16;1992 г.;;2021-2023;56.232013;57.978791
Подводников, 27а;1992 г.;;2021-2023;56.205728;57.975374
Парковый, 33;1992 г.;;2021-2023;56.164378;57.998495
Советской Армии, 49;1992 г.;;2021-2023;56.206860;57.975355
Овчинникова, 8;1993 г.;42;2021-2023;56.229794;57.995418
Революции, 5;1993 г.;31;2021-2023;56.272455;58.006402
Монастырская, 101;1993 г.;30;2021-2023;56.212438;58.011509
Щитовая, 11;1993 г.;27;2021-2023;56.398821;58.090524
Щитовая, 9;1993 г.;25;2021-2023;56.398866;58.090153
Лянгасова, 67а;1993 г.;20;2021-2023;56.393539;58.108478
Коломенская, 34;1993 г.;20;2021-2023;56.281995;57.978853
М.Ямская, 2а;1993 г.;17;2021-2023;56.259276;58.009458
М.Горького, 64;1993 г.;17;2021-2023;56.260615;58.008028
Карпинского, 77б;1993 г.;15;2021-2023;56.216427;57.977484
Сысольская, 8;1993 г.;14;2021-2023;55.979065;58.017725
С.Есенина, 5/2;1993 г.;13;2021-2023;56.117136;58.001223
С.Есенина, 3/4;1993 г.;12;2021-2023;56.115842;58.001280
Крупской, 9;1993 г.;11;2021-2023;56.272778;58.022754
Маяковского, 48;1993 г.;11;2021-2023;56.109114;58.003007
Декабристов, 12а;1993 г.;9;2021-2023;56.209905;57.980170
Ветлужская, 70;1993 г.;8;2021-2023;56.084312;58.043729
Красногвардейская, 5;1993 г.;7;2021-2023;56.325967;58.028945
Костычева, 25;1993 г.;6;2021-2023;56.127979;58.038865
Студенческая, 23б;1993 г.;5;2021-2023;56.283657;58.010135
Кировоградская, 37а;1993 г.;5;2021-2023;55.953382;57.999654
Елькина, 43;1993 г.;5;2021-2023;56.239864;57.993940
Уинская, 4;1993 г.;4;2021-2023;56.301362;58.005463
Юрша, 23;1993 г.;3;2021-2023;56.304372;58.003340
Байкальская, 3/1;1993 г.;3;2021-2023;56.026298;58.030332
Мира, 6а;1993 г.;3;2021-2023;56.207165;57.984899
М. Рыбалко, 90;1993 г.;2;2021-2023;55.965545;58.009730
Героев Хасана, 157;1993 г.;;2021-2023;56.274323;57.944725
Солдатова, 29;1993 г.;;2021-2023;56.227647;57.969188
Революции, 12;1993 г.;;2021-2023;56.268960;58.005486
Мира, 33;1993 г.;;2021-2023;56.191427;57.978944
Революции, 3/1;1993 г.;;2021-2023;56.276416;58.006040
Докучаева, 34;1993 г.;;2021-2023;56.137357;58.036817
Мира, 35;1993 г.;;2021-2023;56.190304;57.978615
Докучаева, 36;1993 г.;;2021-2023;56.138246;58.036545
Солдатова, 42/2;1993 г.;;2021-2023;56.241651;57.975202
25 Октября, 29;1994 г.;63;2021-2023;56.253195;58.009702
Луначарского, 51а;1994 г.;34;2021-2023;56.244176;58.007914
Максима Горького, 41;1994 г.;34;2021-2023;56.256285;58.010665
Пермская, 46;1994 г.;34;2021-2023;56.252216;58.013535
Кочегаров, 71;1994 г.;29;2021-2023;56.081087;58.042848
Щитовая, 5;1994 г.;26;2021-2023;56.399450;58.089382
Екатерининская, 120б;1994 г.;25;2021-2023;56.232516;58.007799
Марии Загуменных, 4а;1994 г.;23;2021-2023;56.099951;58.041214
Подводников, 9;1994 г.;18;2021-2023;56.213453;57.977612
Голева, 2;1994 г.;15;2021-2023;56.210839;58.000703
Куфонина, 24;1994 г.;12;2021-2023;56.133369;57.994130
Юрша, 25;1994 г.;11;2021-2023;56.300823;58.001714
Левченко, 6;1994 г.;10;2021-2023;56.219921;57.989236
Куфонина, 28/1;1994 г.;10;2021-2023;56.133081;57.993019
Костычева, 42;1994 г.;10;2021-2023;56.136063;58.035926
Толбухина, 9;1994 г.;8;2021-2023;56.305297;58.102700
Кабельщиков, 8;1994 г.;7;2021-2023;56.298146;58.098144
Заречная, 162;1994 г.;7;2021-2023;56.090528;58.042934
Камчатовская, 5;1994 г.;6;2021-2023;56.234348;57.999501
Красноводская, 13;1994 г.;5;2021-2023;56.085632;58.047811
Кронита, 11;1994 г.;2;2021-2023;56.383361;58.109348
Пятая Каховская, 8;1994 г.;2;2021-2023;56.004838;58.022034
Гашкова, 9а;1994 г.;;2021-2023;56.358316;58.067877
Революции, 3/2;1994 г.;;2021-2023;56.276794;58.006230
Мира, 31;1994 г.;;2021-2023;56.191786;57.978471
Николая Островского, 49;1994 г.;;2021-2023;56.260256;58.010231
Мира, 115;1994 г.;;2021-2023;56.152646;57.967140
Мира, 27;1994 г.;;2021-2023;56.193924;57.979211
Чердынская, 36;1994 г.;;2021-2023;56.181815;57.964515
Революции, 3/5;1994 г.;;2021-2023;56.275590;58.007298
Худанина, 11;1994 г.;;2021-2023;55.940446;57.998671
Липатова, 18;1994 г.;;2021-2023;55.961072;58.011962
Красноводская, 24;1994 г.;;2021-2023;56.084051;58.046592
Охотников, 27а;1994 г.;;2021-2023;55.934482;58.006054
Парковый, 7;1994 г.;;2021-2023;56.144238;57.998552
Танцорова, 35;1994 г.;;2021-2023;56.026532;58.029312
Баумана, 25г;1994 г.;;2021-2023;56.187267;57.981110
Елькина, 8а;1994 г.;;2021-2023;56.236720;57.995905
Бенгальская, 10;1994 г.;;2021-2023;56.438427;58.145180
Малкова, 30а;1995 г.;52;2021-2023;56.194122;58.001285
Костычева, 38;1995 г.;20;2021-2023;56.132273;58.036412
Советской Армии, 33/1;1995 г.;14;2021-2023;56.200473;57.981654
Ветлужская, 66;1995 г.;7;2021-2023;56.081383;58.044444
Веденеева, 15;1995 г.;4;2021-2023;56.369230;58.112510
Волгодонская, 5;1995 г.;3;2021-2023;56.014593;58.027596
Космонавтов, 181а;1995 г.;;2021-2023;56.170541;57.978252
Декабристов, 41/1;1995 г.;;2021-2023;56.195128;57.973856
Николая Островского, 55;1995 г.;;2021-2023;56.261747;58.008695
9 мая, 3;1995 г.;;2021-2023;56.188687;57.986316
Петропавловская, 119а;1995 г.;;2021-2023;56.194795;58.006025
Советской Армии, 33/2;1996 г.;40;2021-2023;56.200715;57.981459
Осинская, 12;1996 г.;33;2021-2023;56.229371;58.012286
9 мая, 18/1;1996 г.;25;2021-2023;56.190744;57.981735
Щитовая, 7;1996 г.;25;2021-2023;56.399288;58.089753
Н.Островского, 113;1996 г.;15;2021-2023;56.272931;57.995671
Стахановская, 10а;1996 г.;14;2021-2023;56.218152;57.987051
Социалистическая, 14;1996 г.;1;2021-2023;56.387161;58.134534
Тимирязева, 23;1996 г.;;2021-2023;56.265106;58.004671
Норильская, 13;1996 г.;;2021-2023;56.193574;57.969732
Елькина, 8;1996 г.;;2021-2023;56.237510;57.996224
Революции, 14;1996 г.;;2021-2023;56.267999;58.005296
Петропавловская, 119;1996 г.;;2021-2023;56.194436;58.005811
Солдатова, 42/3;1996 г.;;2021-2023;56.241660;57.975527
Адмирала Ушакова, 49;1996 г.;;2021-2023;56.009527;58.029631
Советской Армии, 46;1997 г.;33;2021-2023;56.203581;57.975780
Калинина, 30;1997 г.;31;2021-2023;56.016246;58.026095
Вижайская, 23;1997 г.;24;2021-2023;56.231986;57.963994
Геологов, 4;1997 г.;8;2021-2023;56.172284;57.965684
Автозаводская, 4;1997 г.;5;2021-2023;55.937392;57.999325
Бетонный, 2;1997 г.;;2021-2023;55.921959;58.008076
Николая Островского, 53;1997 г.;;2021-2023;56.261100;58.009330
Петропавловская, 105;1997 г.;;2021-2023;56.205153;58.007747
Лянгасова, 69а;1997 г.;;2021-2023;56.393107;58.108164
Советской Армии, 30;1997 г.;;2021-2023;56.196044;57.983224
Пушкина, 13а;1998 г.;21;2021-2023;56.252287;58.009487
Мильчакова, 30а;1998 г.;20;2021-2023;56.232300;57.988745
Байкальская, 5/1;1998 г.;4;2021-2023;56.027179;58.030522
Героев Хасана, 153;1998 г.;;2021-2023;56.273488;57.945174
Сибирская, 52;1998 г.;;2021-2023;56.259600;58.001218
Солдатова, 42/4;1998 г.;;2021-2023;56.241867;57.975799
Свиязева, 6;1998 г.;;2021-2023;56.197409;57.964281
Свиязева, 4;1998 г.;;2021-2023;56.198308;57.964109
Магистральная, 14а;1999 г.;37;2021-2023;55.942494;58.005896
Байкальская, 11;1999 г.;25;2021-2023;56.022454;58.032757
Мильчакова, 28;1999 г.;20;2021-2023;56.232992;57.989837
Свободы, 21;1999 г.;16;2021-2023;56.321655;58.029545
Свиязева, 8;1999 г.;13;2021-2023;56.196511;57.964486
Шоссе Космонавтов, 137;1999 г.;7;2021-2023;56.186369;57.986025
Героев Хасана, 159;1999 г.;3;2021-2023;56.275778;57.945404
Космонавта Беляева, 56;1999 г.;;2021-2023;56.157434;57.966921
Пархоменко, 20;1999 г.;;2021-2023;56.359448;58.077815
Малкова, 26-17;1999 г.;;2021-2023;56.195092;57.997589
Кировоградская, 4б;1999 г.;;2021-2023;55.945243;57.993224
Докучаева, 32;1999 г.;;2021-2023;56.138309;58.037255
Транспортная, 19;2000 г.;40;2021-2023;56.133108;58.035649
Капитанская, 12;2000 г.;27;2021-2023;56.019480;58.025275
Блюхера, 7а;2000 г.;13;2021-2023;56.211226;57.995404
Баумана, 24а;2000 г.;10;2021-2023;56.184869;57.983153
Докучаева, 44;2000 г.;5;2021-2023;56.145361;58.035383
Адмирала Макарова, 22;2000 г.;;2021-2023;56.028876;58.032514
Сивкова, 1а;2000 г.;;2021-2023;56.221817;57.982184
Николая Островского, 51;2000 г.;;2021-2023;56.260471;58.009601
Чердынская, 15;2000 г.;;2021-2023;56.190762;57.968334
Луначарского, 103;2000 г.;;2021-2023;56.218331;58.003097
Революции, 2;2000 г.;;2021-2023;56.278743;58.004790
Кронштадтская, 35;2000 г.;;2021-2023;56.204767;57.999253
Чернышевского, 19а;2000 г.;;2021-2023;56.265645;57.996325
Каляева, 11;2001 г.;35;2021-2023;56.021295;58.027358
Кировоградская, 4;2001 г.;33;2021-2023;55.945243;57.993224
Кировоградская, 40;2001 г.;32;2021-2023;55.958691;58.000398
